,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,913,38,127,5,4
true_pi,2,10,1,0,0
true_pc,8,0,20,0,0
true_li,1,0,0,0,0
true_lc,1,0,1,0,0
