,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,897,28,156,3,3
true_pi,3,9,1,0,0
true_pc,7,1,20,0,0
true_li,1,0,0,0,0
true_lc,1,0,1,0,0
