,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,886,42,158,0,1
true_pi,3,7,3,0,0
true_pc,13,0,15,0,0
true_li,1,0,0,0,0
true_lc,0,0,2,0,0
