,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,1013,15,54,0,5
true_pi,4,7,2,0,0
true_pc,12,0,16,0,0
true_li,1,0,0,0,0
true_lc,1,0,0,0,1
