,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,1005,18,58,1,5
true_pi,3,9,1,0,0
true_pc,13,0,15,0,0
true_li,1,0,0,0,0
true_lc,1,0,0,0,1
