,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,795,59,232,0,1
true_pi,3,7,3,0,0
true_pc,10,0,18,0,0
true_li,1,0,0,0,0
true_lc,1,0,1,0,0
