,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,1055,0,32,0,0
true_pi,6,5,2,0,0
true_pc,17,0,11,0,0
true_li,1,0,0,0,0
true_lc,2,0,0,0,0
