,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,961,31,86,2,7
true_pi,3,9,1,0,0
true_pc,11,0,17,0,0
true_li,1,0,0,0,0
true_lc,2,0,0,0,0
