,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,1025,0,62,0,0
true_pi,9,4,0,0,0
true_pc,17,0,11,0,0
true_li,1,0,0,0,0
true_lc,1,0,1,0,0
