,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,1013,4,70,0,0
true_pi,4,6,3,0,0
true_pc,15,0,13,0,0
true_li,1,0,0,0,0
true_lc,2,0,0,0,0
