,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,892,31,156,0,8
true_pi,3,7,3,0,0
true_pc,8,1,19,0,0
true_li,1,0,0,0,0
true_lc,2,0,0,0,0
