,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,1033,0,54,0,0
true_pi,12,0,1,0,0
true_pc,27,0,1,0,0
true_li,1,0,0,0,0
true_lc,2,0,0,0,0
