,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,917,30,128,2,10
true_pi,4,8,1,0,0
true_pc,8,0,20,0,0
true_li,1,0,0,0,0
true_lc,0,0,0,0,2
