,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,950,24,110,3,0
true_pi,3,8,2,0,0
true_pc,10,0,18,0,0
true_li,1,0,0,0,0
true_lc,2,0,0,0,0
