,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,982,20,80,1,4
true_pi,3,7,2,0,1
true_pc,11,0,16,0,1
true_li,1,0,0,0,0
true_lc,1,0,1,0,0
