,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,1038,4,44,0,1
true_pi,5,6,2,0,0
true_pc,18,0,10,0,0
true_li,1,0,0,0,0
true_lc,2,0,0,0,0
