,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,931,0,156,0,0
true_pi,9,0,4,0,0
true_pc,16,0,12,0,0
true_li,1,0,0,0,0
true_lc,0,0,2,0,0
