,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,937,34,114,0,2
true_pi,4,8,1,0,0
true_pc,9,0,19,0,0
true_li,1,0,0,0,0
true_lc,1,0,1,0,0
