,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,890,31,166,0,0
true_pi,5,7,1,0,0
true_pc,13,0,15,0,0
true_li,1,0,0,0,0
true_lc,1,0,1,0,0
