,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,766,61,246,3,11
true_pi,2,8,3,0,0
true_pc,7,0,21,0,0
true_li,1,0,0,0,0
true_lc,0,0,2,0,0
