,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,994,13,80,0,0
true_pi,7,5,1,0,0
true_pc,18,0,10,0,0
true_li,1,0,0,0,0
true_lc,1,0,1,0,0
