,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,988,21,71,2,5
true_pi,4,8,1,0,0
true_pc,8,0,20,0,0
true_li,1,0,0,0,0
true_lc,2,0,0,0,0
