,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,915,37,129,4,2
true_pi,2,10,1,0,0
true_pc,10,0,18,0,0
true_li,1,0,0,0,0
true_lc,1,0,0,0,1
