,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,897,28,153,0,9
true_pi,4,7,2,0,0
true_pc,7,0,21,0,0
true_li,1,0,0,0,0
true_lc,2,0,0,0,0
