,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,1207,22,84,0,1
true_pi,3,12,1,0,0
true_pc,10,1,43,0,0
true_li,3,1,0,0,0
true_lc,4,0,10,0,0
