,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,1002,18,61,1,5
true_pi,3,9,1,0,0
true_pc,10,0,18,0,0
true_li,1,0,0,0,0
true_lc,1,0,0,0,1
