,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,891,41,150,1,4
true_pi,4,8,1,0,0
true_pc,8,0,19,0,1
true_li,1,0,0,0,0
true_lc,0,0,2,0,0
