,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,920,30,128,1,8
true_pi,4,7,2,0,0
true_pc,7,1,20,0,0
true_li,1,0,0,0,0
true_lc,1,0,1,0,0
