,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,960,20,99,4,4
true_pi,3,9,1,0,0
true_pc,9,0,19,0,0
true_li,1,0,0,0,0
true_lc,1,0,0,0,1
