,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,989,14,79,0,5
true_pi,4,7,2,0,0
true_pc,11,0,17,0,0
true_li,1,0,0,0,0
true_lc,2,0,0,0,0
